Country Code,Country Name,Region,Income Group,GDP_per_capita,Life_expectancy,Population,CO2_per_capita,Unemployment_pct,Literacy_pct,Health_exp_pct_gdp,GDP_growth_pct,Urban_pop_pct,Internet_users_pct,Gini_index,Infant_mortality,Electricity_access_pct,Maternal_mortality
CHL,Chile,Latin America & Caribbean,High income,15346.449699759545,79.732,18054726.0,4.687376623712842,7.22300004959106,96.8741302490234,8.52893972,1.489906004461659,87.49,82.32748693,46.6,6.3,100.0,22.0
CHN,China,East Asia & Pacific,Upper middle income,8826.994095748352,76.41,1386395000.0,7.543907641449274,4.41699981689453,95.1244812011719,4.98188075,6.900000000000134,57.96,54.3,38.6,8.0,100.0,27.0
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,1537.504031087037,54.102,24294750.0,0.4902060462422358,2.48000001907349,43.9084205627441,4.40362075,7.702089422123521,50.326,43.83992085,41.5,64.2,64.3,645.0
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,1451.8657466529658,58.575,24053727.0,0.31492806803482604,3.36100006103516,71.2905120849609,4.6902491,3.549087318215612,55.777,23.20297197,46.6,55.1,60.0747680664063,596.0
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,462.779544082555,60.031,81339988.0,0.06336919104874661,4.15500020980835,77.0426788330078,3.87116143,3.7008507498930356,43.88,8.619904916,42.1,70.0,17.1473789215088,693.0
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,1654.0103217639607,65.088,5260750.0,0.6353692933076115,10.3819999694824,79.3111724853516,4.63481785,-3.1000000000000085,66.459,8.65,48.9,34.7,56.5661697387695,442.0
COL,Colombia,Latin America & Caribbean,Upper middle income,6408.920011692966,74.562,49065615.0,1.7595371735606053,9.0930004119873,94.6538467407227,5.91234407,1.7891925462135276,80.446,62.25988032,49.7,12.7,99.0044555664063,64.0
COM,Comoros,Sub-Saharan Africa,Low income,1312.3339253660988,63.912,813912.0,0.20281411932023943,3.71000003814697,49.1961402893066,7.63108978,2.70765882914921,28.784,8.478170295,45.3,52.2,77.8442153930664,335.0
CPV,Cabo Verde,Sub-Saharan Africa,Lower middle income,3244.4095609362707,73.004,546388.0,0.9334032372344649,12.2760000228882,86.7902908325195,5.23696219,4.013257244187557,65.261,57.16214635,47.2,15.0,92.6115875244141,42.0
CRI,Costa Rica,Latin America & Caribbean,Upper middle income,11677.269037272512,80.03,4905769.0,1.630951062253354,8.12800025939941,97.4065780639648,7.55572353,3.2804645282901816,78.56,71.58166462,48.3,7.8,100.0,25.0
CUB,Cuba,Latin America & Caribbean,Upper middle income,8433.092698802122,79.921,11484636.0,3.045210623607981,2.26399993896484,99.7525329589844,12.19122021,1.7834976268711102,76.977,49.1046873,,4.1,100.0,39.0
CUW,Curacao,Latin America & Caribbean,High income,,78.01707317073172,160175.0,37.72628905322977,,,,,89.203,61.85551074,,,100.0,
CYM,Cayman Islands,Latin America & Caribbean,High income,64103.214810169186,82.19024390243904,61559.0,9.171838031501386,,98.8678207397461,,2.899999999999906,100.0,81.06769325,,,100.0,
CYP,Cyprus,Europe & Central Asia,High income,25658.7996638379,80.67,1179551.0,5.260352040989006,8.10900020599365,98.6784286499023,6.87966475,4.231414523736561,66.836,80.74318897,34.0,2.1,100.0,7.0
CZE,Czech Republic,Europe & Central Asia,High income,20379.8960396417,79.47560975609757,10594438.0,9.16597837581982,2.3970000743866,,7.14959908,4.352603518229287,73.675,78.71917285,25.9,2.6,100.0,4.0
DEU,Germany,Europe & Central Asia,High income,44665.50636579809,80.99024390243903,82685827.0,8.88937039483839,3.42499995231628,,11.13916763,2.157109470299943,77.261,84.39550077,31.7,3.1,100.0,6.0
DJI,Djibouti,Middle East & North Africa,Lower middle income,1927.5897056941471,62.643,956985.0,0.7919617524918764,11.1219997406006,,3.50192451,4.090263627700267,77.648,55.68140925,41.6,51.5,51.7826919555664,229.0
DMA,Dominica,Latin America & Caribbean,Upper middle income,6719.337166046668,76.59756097560977,73925.0,1.8642859105773721,,,5.30393975,-9.530268983447598,70.181,69.61966879,,31.5,100.0,
DNK,Denmark,Europe & Central Asia,High income,57218.851961927125,81.0048780487805,5764980.0,5.9357124821143,4.97499990463257,,10.35004017,2.262366309315155,87.757,97.09936216,28.2,3.7,100.0,6.0
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,7052.258838968575,74.048,10766998.0,2.069986634433497,5.8289999961853,93.7784576416016,6.16130052,4.551815138184011,80.277,64.99320547,45.7,25.0,100.0,92.0
DZA,Algeria,Middle East & North Africa,Upper middle income,4055.247211096295,76.293,41318142.0,3.7174099008181694,12.1450004577637,75.1360473632813,6.648475,1.6000000005227548,72.052,47.69105515,27.6,20.6,99.439567565918,140.0
ECU,Ecuador,Latin America & Caribbean,Upper middle income,6273.488892356253,76.551,16624858.0,2.7617021750208384,3.91000008583069,94.350227355957,8.38714107,2.368386526336508,63.67,57.27224368,44.7,12.5,99.9368133544922,64.0
EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,2412.7270818521342,71.661,97553151.0,2.1989802463423143,11.4359998703003,71.1682510375977,4.63781726,4.181220999947868,42.705,44.95020425,31.8,18.8,100.0,33.0
ERI,Eritrea,Sub-Saharan Africa,Low income,582.7755302374856,65.536,4474690.0,0.13275869389834824,6.54300022125244,64.662971496582,2.95931347,8.679799936468257,35.771,1.30890698,,32.1,46.6804618835449,501.0
ESP,Spain,Europe & Central Asia,High income,28208.300405271824,83.32926829268293,46593171.0,5.03382448723757,15.4870004653931,98.2505111694336,8.97038932,2.979182400618626,80.08,84.6022457,36.2,2.6,100.0,5.0
EST,Estonia,Europe & Central Asia,High income,20200.37559204091,77.64146341463416,1317384.0,14.848819173173986,5.50799989700317,99.8857879638672,6.68368438,4.856686856443943,68.717,88.10245687,32.7,2.1,100.0,9.0
ETH,Ethiopia,Sub-Saharan Africa,Low income,767.5634778158094,65.874,104957438.0,0.1191240145226543,1.80900001525879,38.995979309082,3.97401588,10.245810850258977,20.31,18.61805145,39.1,41.0,42.9,353.0
FIN,Finland,Europe & Central Asia,High income,45804.654207884574,81.42926829268293,5508214.0,8.660721243494477,7.75500011444092,,9.49305799,2.6525295302152614,85.325,87.46892907,27.1,1.9,100.0,3.0
FJI,Fiji,East Asia & Pacific,Upper middle income,5589.388833408963,70.417,905502.0,1.3205747082318249,4.15199995040894,,3.46146795,3.8000000884550644,55.742,49.96637301,36.7,21.4,98.6460494995117,30.0
FRA,France,Europe & Central Asia,High income,38484.189923656726,82.52439024390245,67105513.0,4.573182147102395,9.18000030517578,,11.53929503,2.161158085548948,80.18,80.5,32.7,3.5,100.0,8.0
FRO,Faroe Islands,Europe & Central Asia,High income,50581.968491558604,82.40000000000002,49290.0,12.237848572949511,,,,,41.914,97.58195894,,,100.0,
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,3187.5568483286593,69.316,105544.0,1.4454357544584917,,,12.56300745,3.200000000000003,22.608,35.30405287,40.1,26.7,75.435173034668,100.0
GAB,Gabon,Sub-Saharan Africa,Upper middle income,7413.79520698305,66.48,2025137.0,2.7682657208218955,19.488000869751,82.2837982177734,3.11291313,0.4953191160045094,88.976,50.32012015,38.0,35.1,91.3955001831055,291.0
GBR,United Kingdom,Europe & Central Asia,High income,39953.57305632799,81.15609756097562,66023290.0,6.497440490451171,3.9539999961853,,9.7623484,1.8229277738698357,83.143,94.62,33.2,3.7,100.0,9.0
GEO,Georgia,Europe & Central Asia,Lower middle income,4045.418967438734,73.436,3728004.0,2.4164604961964438,14.1059999465942,99.5861892700195,8.43609722,4.833230526900039,58.231,60.49125755,37.9,9.7,100.0,36.0
GHA,Ghana,Sub-Saharan Africa,Lower middle income,2046.1099862858157,63.033,28833629.0,0.5365333777801465,6.71000003814697,71.4970703125,4.44871433,8.143446548798522,55.407,37.88415262,43.5,35.7,79.3,319.0
GIB,Gibraltar,Europe & Central Asia,High income,,,34571.0,15.5134849286092,,,,,100.0,94.44447158,,,100.0,
GIN,Guinea,Sub-Saharan Africa,Low income,823.4937154773966,60.617,12717176.0,0.20749262060619328,3.60700011253357,32.0038604736328,5.47827339,10.60432284474959,35.793,11.40002077,33.7,56.4,33.5,679.0
GMB,"Gambia, The",Sub-Saharan Africa,Low income,709.0771579754361,61.424,2100568.0,0.267684889136388,8.90499973297119,41.9500503540039,4.43153755,4.557732010725644,60.599,19.83645444,35.9,41.4,47.7570877075195,706.0
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,723.6094118972612,57.805,1861283.0,0.1572411667083878,4.05700016021729,45.5811614990234,6.09011769,5.919176625860501,42.945,3.930509152,50.7,55.6,14.6557903289795,549.0
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,9697.630233608896,57.939,1267689.0,4.733816529487597,9.16199970245361,95.0,3.37653274,-4.916494790799263,71.646,26.23999996,,65.3,67.889289855957,342.0
GRC,Greece,Europe & Central Asia,High income,18885.475982645294,81.3878048780488,10753531.0,6.1803372677844655,19.2070007324219,97.3687362670898,8.45429347,1.5050993075189467,78.724,69.89,36.0,4.3,100.0,3.0
GRD,Grenada,Latin America & Caribbean,Upper middle income,10451.029875226488,73.78,107825.0,2.2754983076344493,,98.5999984741211,5.24666501,5.059216159576735,36.164,59.07173536,,15.3,92.344367980957,27.0
GRL,Greenland,Europe & Central Asia,High income,48159.66532031593,71.24634146341464,56171.0,8.989181987743137,,,,7.662998894922751,86.574,69.48246178,,,100.0,
GTM,Guatemala,Latin America & Caribbean,Upper middle income,4470.989571911892,73.654,16913503.0,1.1509779943039116,2.72699999809265,81.2858963012695,5.82031093,2.7603384836662173,50.68,40.70304908,48.3,23.1,91.7792282104492,88.0
GUM,Guam,East Asia & Pacific,High income,35675.79416546408,79.763,164229.0,,5.61199998855591,99.3691482543945,,0.1920491645861233,94.699,80.50546556,,,100.0,
GUY,Guyana,Latin America & Caribbean,Upper middle income,4655.144447570337,66.766,777859.0,2.632347951841319,12.1510000228882,85.6397323608398,4.24328719,2.9246683127795308,26.538,37.32583679,44.6,26.0,84.2429046630859,229.0
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,46193.61452042822,84.68048780487806,7391700.0,6.393600525624179,2.77800011634827,,,3.7913485596456837,100.0,89.41594465,,,100.0,
HND,Honduras,Latin America & Caribbean,Lower middle income,2480.125928585474,73.774,9265067.0,1.075221790452181,4.07600021362305,88.9874801635742,8.40196647,4.78529790989262,56.457,32.13636364,50.5,15.6,87.5766296386719,129.0
HRV,Croatia,Europe & Central Asia,High income,13386.512859433973,77.8268292682927,4124531.0,3.9738049055903075,8.85000038146973,99.125358581543,7.18008037,2.921363383060722,56.667,67.09619204,31.1,3.9,100.0,8.0
HTI,Haiti,Latin America & Caribbean,Low income,765.6839246296423,63.589,10981229.0,0.27053858579445894,13.5260000228882,48.6850204467773,5.38571841,1.1732795054563354,54.346,12.32610358,41.1,53.9,38.6901664733887,359.0
HUN,Hungary,Europe & Central Asia,High income,14278.87449780244,76.06341463414635,9787966.0,4.265574975766404,3.66300010681152,99.0999984741211,7.36479381,4.13706393670374,71.062,76.75054712,30.4,3.8,100.0,17.0
IDN,Indonesia,East Asia & Pacific,Lower middle income,3846.4157092230544,69.355,263991379.0,1.8193633190551324,4.30000019073486,95.3769683837891,3.12449094,5.067406365585697,54.659,32.2924419,38.1,21.4,97.62,126.0
IMN,Isle of Man,Europe & Central Asia,High income,78730.16228481861,77.96585365853659,84287.0,,,,,7.400000000000006,52.458,,,,100.0,
IND,India,South Asia,Lower middle income,1979.3643005305955,68.803,1339180127.0,1.73000043156161,2.55100011825562,69.3025588989258,3.65833057,7.167888860891367,33.6,34.45,35.7,32.0,84.5268173217773,174.0
IRL,Ireland,Europe & Central Asia,High income,68885.45037902209,81.9560975609756,4811321.0,7.313939807717905,5.69099998474121,,7.37830423,7.2217887437576,62.947,84.51538863,31.8,3.0,100.0,8.0
IRN,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,5593.853783381479,76.153,81162788.0,8.283020787416147,11.9949998855591,85.5442504882813,8.10277065,3.7551873669495706,74.394,60.41635615,40.0,12.8,100.0,25.0
IRQ,Iraq,Middle East & North Africa,Upper middle income,5017.968064653469,70.038,38274618.0,4.8118396861345225,7.92799997329712,43.6832809448242,3.31216318,-2.0731720971619865,70.278,49.35999889,29.5,25.3,100.0,50.0
ISL,Iceland,Europe & Central Asia,High income,71311.78512078997,82.2048780487805,343400.0,6.0596574074639715,2.91799998283386,,8.29151473,4.024870762523207,93.773,98.26,27.8,1.6,100.0,3.0
ISR,Israel,Middle East & North Africa,High income,40543.58416657025,82.60243902439025,8713300.0,7.863181347907056,3.95000004768372,91.7514114379883,7.31441124,3.444612030021176,92.336,81.58118359,38.9,2.9,100.0,5.0
ITA,Italy,Europe & Central Asia,High income,32110.027261996715,83.24390243902438,60536709.0,5.270866786402965,10.2049999237061,98.8482818603516,8.93549301,1.571759814808459,70.144,61.30114276,35.4,2.9,100.0,4.0
JAM,Jamaica,Latin America & Caribbean,Upper middle income,5114.041080784834,76.097,2890299.0,2.593215370462184,9.44499969482422,88.0999984741211,6.0723917,0.9785562228491216,55.378,48.78096953,45.5,13.1,98.2042694091797,89.0
JOR,Jordan,Middle East & North Africa,Upper middle income,4129.751664436887,74.476,9702353.0,3.0025147270397916,15.0249996185303,97.8903198242188,5.46821058,1.9700234834415085,90.747,66.79031443,33.7,14.6,100.0,58.0
JPN,Japan,East Asia & Pacific,High income,38430.29124401595,84.09975609756098,126785797.0,9.53870610327163,2.4449999332428,,10.92612327,1.7345542312680209,91.535,90.87304215,32.1,1.9,100.0,5.0
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,9030.318806026517,72.95,18037776.0,14.36316974182228,4.88500022888184,99.7816314697266,3.52614962,4.100000000000421,57.336,76.42674823,27.5,8.9,100.0,12.0
